Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Press,Pass Types_Sw,Pass Types_Crs,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Height_Ground,Height_Low,Height_High,Body Parts_Left,Body Parts_Right,Body Parts_Head,Body Parts_TI,Body Parts_Other,Outcomes_Cmp,Outcomes_Off,Outcomes_Out,Outcomes_Int,Outcomes_Blocks,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Dribbles_Succ,Dribbles_Att,Dribbles_Succ%,Dribbles_#Pl,Dribbles_Megs,Carries_Carries,Carries_TotDist,Carries_PrgDist,Receiving_Targ,Receiving_Rec,Receiving_Rec%,Miscon,Dispos,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_Drib,SCA Types_Sh,SCA Types_Fld,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_Drib,GCA Types_Sh,GCA Types_Fld,GCA Types_OG,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Playing Time_MP,Playing Time_Starts,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Expected_xA,Per 90 Minutes_xG,Per 90 Minutes_xA,Per 90 Minutes_xG+xA,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xA,xGChain,xGBuildup,xPassing%,shot_chain%,key_pass_chain%
Çağlar Söyüncü,tr TUR,DF,Leicester City,23,1996,33.7,2035,2239,90.9,41675,12071,11,28,39.3,1469,1552,94.7,555,659,84.2,1,0.3,0.7,4,114,3,0,87,2239,2187,52,44,0,259,53,4,0,0,0,0,1801,194,244,437,1653,84,8,9,2035,8,24,11,19,2630,296,1371,1330,83,33,2580,18,22,81.8,19,0,1753,10456,4677,1852,1829,98.8,8,8,13,0.39,10,1,0,2,0,0,0.0,0,0,0,0,0,0,1,20,7,35.0,0.59,0.21,0.05,0.14,0,0,0,2.2,2.2,0.11,-1.2,-1.2,34,34,1,1,0,0,4,1,0.03,0.03,0.06,0.03,0.06,0.3,0.06,0.01,0.07,0.06,0.07,6.56231710873544,6.45581238530576,0.8847593294091131,0.154341126441923,0.020147605844731853
Miguel Almirón,py PAR,MFFW,Newcastle Utd,25,1994,33.6,682,894,76.3,10800,2575,22,64,34.4,563,663,84.9,97,167,58.1,2,1.4,0.6,27,40,24,4,73,894,881,13,2,2,207,22,42,1,0,1,0,635,145,114,777,67,29,8,8,682,3,16,31,40,1309,44,314,553,602,90,1297,46,93,49.5,54,5,975,9236,5220,1281,894,69.8,60,54,77,2.29,58,0,7,5,7,2,0.06,2,0,0,0,0,0,4,55,17,30.9,1.64,0.51,0.07,0.24,0,0,0,6.4,6.4,0.12,-2.4,-2.4,36,35,4,2,0,0,5,0,0.12,0.06,0.18,0.12,0.18,1.4,0.19,0.04,0.23,0.19,0.23,13.875709598884,3.98984450474382,0.769477170014908,0.4319509557980108,0.11036593108813336
Roberto Firmino,br BRA,FW,Liverpool,27,1991,33.2,931,1171,79.5,14337,3583,42,101,41.6,765,921,83.1,124,149,83.2,8,6.1,1.9,49,70,35,0,102,1171,1141,30,3,8,306,8,8,0,0,0,0,874,205,92,152,927,55,11,13,931,3,7,51,55,1573,21,116,741,810,230,1543,59,97,60.8,64,2,1168,6485,3587,1818,1218,67.0,64,59,94,2.83,72,0,15,4,3,19,0.57,14,0,4,1,0,0,9,100,37,37.0,3.01,1.11,0.09,0.24,0,0,0,13.4,13.4,0.13,-4.4,-4.4,38,34,9,8,0,0,0,0,0.27,0.24,0.51,0.27,0.51,6.1,0.4,0.18,0.59,0.4,0.59,28.271100923419,9.46331227943301,0.797608144054218,0.4498603881930333,0.1308807062855167
Kenny McLean,sco SCO,MF,Norwich City,27,1992,33.0,1324,1689,78.4,23421,7801,33,72,45.8,1039,1215,85.5,252,402,62.7,1,2.2,-1.2,26,130,19,5,161,1689,1600,89,48,4,378,58,53,20,8,12,0,1077,324,288,1199,314,77,18,8,1324,8,35,36,36,2028,108,569,1138,460,27,1950,34,49,69.4,36,5,1309,7147,3555,1623,1403,86.4,40,38,58,1.76,46,6,2,2,2,2,0.06,2,0,0,0,0,0,1,30,10,33.3,0.91,0.3,0.03,0.1,2,0,0,1.4,1.4,0.05,-0.4,-0.4,37,32,1,1,0,0,5,0,0.03,0.03,0.06,0.03,0.06,2.2,0.04,0.07,0.11,0.04,0.11,8.08472777158022,6.2693151794374,0.782959504267011,0.33794769684826154,0.09127267755084303
Toby Alderweireld,be BEL,DF,Tottenham,30,1989,32.9,1567,1895,82.7,37306,9753,10,26,38.5,968,1040,93.1,589,829,71.0,2,1.1,0.9,11,131,17,1,89,1895,1814,81,72,6,205,65,8,0,0,0,0,1238,190,467,340,1402,101,9,7,1567,10,39,9,12,2265,353,1224,1038,114,22,2185,0,2,0.0,0,0,1362,6528,3056,1535,1500,97.7,3,2,19,0.58,18,0,0,1,0,2,0.06,2,0,0,0,0,0,2,16,5,31.3,0.49,0.15,0.13,0.4,0,0,0,1.1,1.1,0.07,0.9,0.9,33,33,2,2,0,0,7,0,0.06,0.06,0.12,0.06,0.12,1.1,0.03,0.03,0.07,0.03,0.07,8.16016544029117,7.05638075619936,0.812510009388204,0.2653138947104925,0.061243001487481685
Georginio Wijnaldum,nl NED,MF,Liverpool,28,1990,32.6,1477,1628,90.7,25473,4631,24,54,44.4,1231,1320,93.3,222,254,87.4,0,1.3,-1.3,18,130,24,0,103,1628,1600,28,15,4,276,31,5,0,0,0,0,1298,196,134,171,1359,53,13,7,1477,1,9,17,27,1920,41,288,1190,569,83,1893,49,78,62.8,50,5,1504,8139,3620,1635,1441,88.1,36,41,45,1.38,36,0,5,1,3,3,0.09,3,0,0,0,0,0,4,36,15,41.7,1.1,0.46,0.11,0.27,0,0,0,3.0,3.0,0.08,1.0,1.0,37,35,4,0,0,0,0,0,0.12,0.0,0.12,0.12,0.12,1.3,0.09,0.04,0.13,0.09,0.13,13.4786531962454,10.8567139096558,0.8424912586418339,0.1793354500019393,0.041955844277191956
Callum Wilson,eng ENG,FW,Bournemouth,27,1992,32.3,345,535,64.5,5193,1141,19,66,28.8,291,408,71.3,35,61,57.4,1,3.2,-2.2,25,32,15,3,40,535,508,27,0,5,164,9,21,0,0,0,0,277,164,94,58,385,33,1,17,345,2,8,9,47,881,21,68,346,517,177,854,24,48,50.0,25,0,603,3384,1835,1390,642,46.2,105,55,58,1.8,43,0,3,5,7,7,0.22,2,0,1,1,3,0,8,54,22,40.7,1.67,0.68,0.15,0.36,0,0,0,10.0,10.0,0.18,-2.0,-2.0,35,32,8,1,0,0,10,0,0.25,0.03,0.28,0.25,0.28,3.2,0.31,0.1,0.41,0.31,0.41,12.5629492290318,2.70783636439592,0.7228481678122429,0.6054866972144392,0.14236494154224305
Tyrone Mings,eng ENG,DF,Aston Villa,26,1993,32.2,1055,1333,79.1,26161,8304,7,29,24.1,586,641,91.4,462,663,69.7,2,0.7,1.3,7,67,4,1,56,1333,1283,50,47,2,193,58,8,0,0,0,0,890,128,315,1071,157,67,3,3,1055,3,42,16,23,1694,385,1114,632,54,24,1645,11,14,78.6,13,0,956,6820,2771,997,973,97.6,7,8,13,0.4,12,1,0,0,0,2,0.06,2,0,0,0,0,0,2,9,4,44.4,0.28,0.12,0.22,0.5,0,0,0,1.1,1.1,0.12,0.9,0.9,33,33,2,2,0,0,7,0,0.06,0.06,0.12,0.06,0.12,0.7,0.03,0.02,0.06,0.03,0.06,5.1114912442863,5.06800478324294,0.7681701105514711,0.31285715971129235,0.07080668245633692
Jonny Castro,es ESP,DF,Wolves,25,1994,32.1,1177,1445,81.5,17880,5888,28,77,36.4,1034,1190,86.9,115,178,64.6,2,0.9,1.1,19,52,21,5,135,1445,1132,313,8,0,267,18,52,2,1,0,0,821,403,221,336,724,52,303,5,1177,3,22,23,47,1866,76,470,821,681,71,1562,30,76,39.5,40,2,1085,6777,4341,1199,1042,86.9,41,50,49,1.53,42,2,2,0,3,6,0.19,5,1,0,0,0,0,2,17,5,29.4,0.53,0.16,0.12,0.4,0,0,0,1.3,1.3,0.07,0.7,0.7,35,33,2,2,0,0,4,0,0.06,0.06,0.12,0.06,0.12,0.9,0.04,0.03,0.07,0.04,0.07,10.034513075836,7.45125222485513,0.7894240414072791,0.2896281994381078,0.0739881392000383
Teemu Pukki,fi FIN,FW,Norwich City,29,1990,32.1,421,522,80.7,5880,672,21,50,42.0,352,410,85.9,48,62,77.4,3,3.1,-0.1,28,13,6,2,18,522,455,67,0,3,137,3,9,0,0,0,0,381,100,41,96,378,27,2,16,421,0,4,8,25,794,14,70,315,453,177,725,27,46,58.7,28,6,507,3530,2018,1143,531,46.5,50,37,53,1.65,41,0,5,4,2,5,0.16,3,0,1,0,0,1,11,80,32,40.0,2.49,1.0,0.11,0.28,0,2,2,12.4,10.8,0.14,-1.4,-1.8,36,33,11,3,2,2,3,0,0.34,0.09,0.44,0.28,0.37,3.1,0.39,0.1,0.48,0.34,0.43,14.7514657638967,2.36844230256975,0.832390365057885,0.4156049479937012,0.10032202634879442
Mohamed Salah,eg EGY,FW,Liverpool,27,1992,32.0,746,1004,74.3,11226,2982,18,66,27.3,655,812,80.7,73,126,57.9,10,7.1,2.9,54,40,60,6,120,1004,952,52,4,13,240,19,45,28,3,15,3,712,159,133,792,166,18,8,11,746,3,15,27,47,1405,4,57,406,1022,318,1349,66,99,66.7,70,3,1069,6402,3895,1815,1109,61.1,85,79,118,3.69,76,4,23,10,5,16,0.5,8,2,4,1,1,0,19,130,56,43.1,4.07,1.75,0.12,0.29,4,3,3,19.1,16.9,0.13,-0.1,-0.9,34,33,19,10,3,3,1,0,0.59,0.31,0.91,0.5,0.81,7.1,0.6,0.22,0.82,0.53,0.75,31.3741979300976,8.42502685263753,0.731103830148206,0.5759800159390587,0.1579620178567663
Ben Mee,eng ENG,DF,Burnley,29,1989,32.0,875,1172,74.7,20668,7937,7,19,36.8,527,598,88.1,341,555,61.4,1,0.6,0.4,6,59,1,0,64,1172,1114,58,53,0,226,37,2,0,0,0,0,642,149,381,901,135,73,5,4,875,5,36,8,12,1609,235,854,768,54,38,1553,6,7,85.7,6,1,774,3265,1331,815,785,96.3,6,3,21,0.66,13,1,1,6,0,2,0.06,1,0,0,1,0,0,1,18,5,27.8,0.56,0.16,0.06,0.2,0,0,0,1.7,1.7,0.1,-0.7,-0.7,32,32,1,1,0,0,7,0,0.03,0.03,0.06,0.03,0.06,0.6,0.05,0.02,0.07,0.05,0.07,1.88047719746828,1.74408973380923,0.778954925471148,0.3889182796107491,0.08172474090300291
Mason Mount,eng ENG,MFFW,Chelsea,20,1999,31.9,1116,1380,80.9,17835,4739,50,93,53.8,905,1023,88.5,161,264,61.0,5,4.6,0.4,53,105,35,6,142,1380,1233,147,52,4,256,58,135,80,36,14,10,968,202,210,161,1165,28,9,6,1116,5,21,14,48,1757,25,164,822,895,150,1609,47,77,61.0,49,3,1327,7853,4318,1699,1265,74.5,75,66,115,3.61,69,29,3,5,9,16,0.5,9,4,1,0,2,0,7,78,29,37.2,2.45,0.91,0.09,0.24,12,0,0,7.0,7.0,0.09,0.0,0.0,37,32,7,5,0,0,3,0,0.22,0.16,0.38,0.22,0.38,4.6,0.22,0.15,0.37,0.22,0.37,16.8750046305358,8.52066310681403,0.705243638891767,0.37590848196206594,0.12898357021809673
Matt Doherty,ie IRL,DF,Wolves,27,1992,31.5,1369,1793,76.4,22390,9051,33,86,38.4,1133,1380,82.1,203,327,62.1,3,1.7,1.3,23,86,18,9,239,1793,1454,339,5,1,293,23,44,0,0,0,0,887,479,427,75,1180,116,334,12,1369,3,27,35,59,2157,82,508,1098,661,95,1822,29,52,55.8,30,5,1185,6275,4064,1542,1319,85.5,46,23,64,2.03,48,1,6,7,2,15,0.48,7,0,3,4,1,0,4,34,15,44.1,1.08,0.48,0.12,0.27,0,0,0,5.1,5.1,0.15,-1.1,-1.1,36,32,4,3,0,0,1,0,0.13,0.1,0.22,0.13,0.22,1.7,0.16,0.05,0.22,0.16,0.22,14.1650483030826,7.6632969956845,0.769837841977341,0.39361389160409943,0.09796780233171459
Youri Tielemans,be BEL,MF,Leicester City,22,1997,31.4,1455,1804,80.7,27246,6904,34,62,54.8,1115,1274,87.5,306,468,65.4,6,5.6,0.4,52,157,37,7,190,1804,1703,101,46,9,363,65,82,41,7,20,5,1246,256,302,318,1393,45,12,14,1455,10,21,21,38,2141,31,327,1166,762,59,2049,30,45,66.7,31,2,1461,6179,3375,1773,1586,89.5,33,51,93,2.96,80,5,1,2,5,9,0.29,9,0,0,0,0,0,3,54,13,24.1,1.72,0.41,0.06,0.23,0,0,0,3.2,3.2,0.06,-0.2,-0.2,37,32,3,6,0,0,2,0,0.1,0.19,0.29,0.1,0.29,5.6,0.1,0.18,0.28,0.1,0.28,17.1038630753756,11.1315537514165,0.788776066565761,0.3285551085735545,0.12078609663540071
Davy Pröpper,nl NED,MF,Brighton,27,1991,31.4,1483,1785,83.1,28710,8226,22,64,34.4,1126,1284,87.7,335,437,76.7,2,2.2,-0.2,27,166,27,6,194,1785,1760,25,18,6,323,34,37,0,0,0,0,1295,272,218,147,1548,64,4,7,1483,6,37,40,47,2097,73,534,1266,456,29,2076,40,65,61.5,41,2,1517,9197,4258,1601,1498,93.6,32,35,62,1.97,56,0,1,3,2,4,0.13,4,0,0,0,0,0,1,31,8,25.8,0.99,0.25,0.03,0.13,0,0,0,1.3,1.3,0.04,-0.3,-0.3,35,32,1,2,0,0,4,0,0.03,0.06,0.1,0.03,0.1,2.2,0.04,0.07,0.11,0.04,0.11,11.8928247019649,8.66929982788861,0.8339177884333,0.27413948950219,0.07973903967657037
David Luiz,br BRA,DF,Arsenal,32,1987,31.2,1481,1713,86.5,36775,10642,10,21,47.6,843,894,94.3,628,798,78.7,1,1.0,0.0,4,100,9,1,89,1713,1611,102,98,6,251,72,5,0,0,0,0,1235,161,317,409,1228,48,4,10,1481,7,31,9,14,2050,392,1183,972,54,19,1946,4,9,44.4,4,0,1332,9431,5693,1454,1427,98.1,7,6,9,0.29,8,0,0,1,0,4,0.13,4,0,0,0,0,0,2,23,7,30.4,0.74,0.22,0.09,0.29,7,0,0,1.8,1.8,0.08,0.2,0.2,33,32,2,1,0,0,5,2,0.06,0.03,0.1,0.06,0.1,1.0,0.06,0.03,0.09,0.06,0.09,9.72422535344959,8.91132308170199,0.81585168317731,0.224232013320943,0.043076498458264056
Danny Ings,eng ENG,FW,Southampton,27,1992,31.2,437,678,64.5,6762,1798,23,58,39.7,350,483,72.5,64,137,46.7,2,2.7,-0.7,34,39,27,7,72,678,663,15,0,3,171,17,29,0,0,0,0,351,152,175,87,508,52,1,7,437,7,19,15,34,1115,37,117,463,602,180,1099,57,93,61.3,63,7,745,4367,2333,1256,723,57.6,70,53,86,2.76,55,0,14,9,8,12,0.39,5,0,5,1,1,0,22,90,35,38.9,2.89,1.12,0.23,0.6,0,1,2,17.0,15.4,0.17,5.0,5.6,38,32,22,2,1,2,3,0,0.71,0.06,0.77,0.67,0.74,2.7,0.54,0.09,0.63,0.5,0.58,18.4880314990878,5.01593812555075,0.6864610285988241,0.6699469458011856,0.1605518730179673
Leander Dendoncker,be BEL,MFDF,Wolves,24,1995,31.1,1087,1284,84.7,22070,4878,8,36,22.2,799,921,86.8,280,327,85.6,0,0.6,-0.6,7,54,4,1,59,1284,1267,17,14,1,191,41,8,0,0,0,0,908,178,198,209,907,103,2,2,1087,4,8,20,25,1599,113,576,901,198,39,1583,17,21,81.0,17,1,957,4352,2169,1186,1011,85.2,23,16,19,0.61,18,0,1,0,0,1,0.03,1,0,0,0,0,0,4,20,5,25.0,0.64,0.16,0.2,0.8,0,0,0,1.7,1.7,0.08,2.3,2.3,38,32,4,0,0,0,5,0,0.13,0.0,0.13,0.13,0.13,0.6,0.05,0.02,0.07,0.05,0.07,9.55908124800772,8.40288241952658,0.849862197658658,0.2488187085928304,0.048553445112683224
Kevin De Bruyne,be BEL,MF,Manchester City,28,1991,31.0,1674,2244,74.6,34634,10510,27,91,29.7,1176,1423,82.6,471,730,64.5,20,18.4,1.6,131,172,124,19,353,2244,1975,269,52,32,365,135,304,177,62,51,17,1475,310,459,262,1888,41,36,3,1674,13,38,61,96,2577,30,220,1135,1405,164,2305,63,97,64.9,65,1,1816,9863,6500,2180,1949,89.4,43,44,220,7.09,157,39,11,4,9,33,1.06,25,2,2,1,3,0,13,96,27,28.1,3.1,0.87,0.11,0.41,11,2,2,7.6,6.1,0.06,5.4,4.9,35,32,13,20,2,2,3,0,0.42,0.64,1.06,0.35,1.0,18.4,0.24,0.59,0.84,0.2,0.79,37.798310726881,19.2448237128556,0.662478171629549,0.43711522545981074,0.24885646551603802
Angelo Ogbonna,it ITA,DF,West Ham,31,1988,31.0,744,945,78.7,16486,5262,4,15,26.7,494,562,87.9,246,368,66.8,0,0.1,-0.1,2,44,2,0,40,945,925,20,20,0,172,24,1,0,0,0,0,577,118,250,568,238,74,0,5,744,5,22,2,8,1278,244,706,582,51,29,1259,2,3,66.7,2,0,634,4169,1604,646,620,96.0,6,2,9,0.29,9,0,0,0,0,0,0.0,0,0,0,0,0,0,2,14,4,28.6,0.45,0.13,0.14,0.5,0,0,0,1.6,1.6,0.11,0.4,0.4,31,31,2,0,0,0,4,0,0.06,0.0,0.06,0.06,0.06,0.1,0.05,0.0,0.05,0.05,0.05,2.94799926131964,2.81651073135436,0.7501273067581851,0.33208666471201753,0.06525251835620383
Issa Diop,fr FRA,DF,West Ham,22,1997,30.7,755,948,79.6,15502,5630,17,39,43.6,517,588,87.9,221,321,68.8,1,0.8,0.2,4,51,2,0,44,948,906,42,41,0,135,17,1,0,0,0,0,620,102,226,130,686,88,1,2,755,2,29,12,16,1268,238,698,600,34,22,1226,4,5,80.0,4,0,602,3976,1928,625,603,96.5,3,5,9,0.29,6,1,0,2,0,1,0.03,1,0,0,0,0,0,3,15,6,40.0,0.49,0.2,0.2,0.5,0,0,0,1.5,1.5,0.1,1.5,1.5,32,31,3,1,0,0,8,0,0.1,0.03,0.13,0.1,0.13,0.8,0.05,0.03,0.08,0.05,0.08,3.84344464726746,3.6186532843858,0.7371766168230219,0.3186256346927634,0.06610932087027194
Neal Maupay,fr FRA,FW,Brighton,22,1996,30.7,540,688,78.5,8462,1458,28,63,44.4,426,515,82.7,86,110,78.2,3,2.5,0.5,26,28,27,3,59,688,624,64,4,3,181,13,12,0,0,0,0,491,145,52,122,507,24,10,14,540,6,8,20,33,1063,16,79,445,597,190,999,34,70,48.6,36,1,774,5005,2541,1440,763,53.0,57,70,71,2.31,51,0,7,9,4,7,0.23,6,0,1,0,0,0,10,90,34,37.8,2.93,1.11,0.1,0.26,0,1,2,11.2,9.7,0.11,-1.2,-0.7,37,30,10,3,1,2,3,0,0.33,0.1,0.42,0.29,0.39,2.5,0.37,0.08,0.44,0.32,0.4,13.8550430126488,3.4836169090122,0.791286069408755,0.45621273008588903,0.10759169891363135
Nathan Redmond,eng ENG,MFFW,Southampton,25,1994,30.7,781,1061,73.6,13247,3054,28,67,41.8,622,766,81.2,131,228,57.5,4,3.1,0.9,37,45,38,5,101,1061,1043,18,1,5,298,37,42,0,0,0,0,701,190,170,80,925,33,3,3,781,6,25,28,45,1443,29,186,669,728,123,1424,90,146,61.6,98,5,1159,9694,5840,1430,1011,70.7,56,58,91,2.97,65,0,13,4,9,6,0.2,5,0,0,0,1,0,4,59,21,35.6,1.92,0.68,0.07,0.19,2,0,0,5.0,5.0,0.08,-1.0,-1.0,32,32,4,4,0,0,2,0,0.13,0.13,0.26,0.13,0.26,3.1,0.16,0.1,0.26,0.16,0.26,13.67461494077,6.08785770554096,0.736249524152925,0.4624114159020062,0.1325539486148618
Pierre Højbjerg,dk DEN,MF,Southampton,23,1995,30.6,1413,1810,78.1,26872,6912,22,59,37.3,1074,1277,84.1,317,474,66.9,1,2.0,-1.0,30,144,33,5,145,1810,1745,65,41,2,374,51,28,1,0,0,0,1114,310,386,308,1298,132,19,16,1413,3,60,18,35,2214,95,446,1360,526,50,2158,41,55,74.5,46,0,1412,7509,3280,1458,1336,91.6,40,37,63,2.06,53,1,2,2,5,5,0.16,3,0,0,0,2,0,0,47,10,21.3,1.54,0.33,0.0,0.0,0,0,0,2.6,2.6,0.06,-2.6,-2.6,33,30,0,1,0,0,5,0,0.0,0.03,0.03,0.0,0.03,2.0,0.09,0.07,0.15,0.09,0.15,11.6636204216629,8.34850305598229,0.8058237000348111,0.3664815139496982,0.10053207675350534
Ryan Bertrand,eng ENG,DF,Southampton,29,1989,30.5,1244,1656,75.1,20897,8987,29,90,32.2,1020,1209,84.4,195,357,54.6,1,3.6,-2.6,34,106,34,16,243,1656,1239,417,48,0,257,45,117,25,7,10,7,833,336,487,1083,88,93,344,6,1244,6,29,29,61,1984,69,422,934,740,52,1578,9,26,34.6,10,1,1003,5856,3273,1205,1064,88.3,29,33,62,2.04,45,14,0,0,3,1,0.03,0,1,0,0,0,0,1,19,4,21.1,0.62,0.13,0.05,0.25,1,0,0,1.7,1.7,0.09,-0.7,-0.7,32,31,1,1,0,0,3,1,0.03,0.03,0.07,0.03,0.07,3.6,0.05,0.12,0.17,0.05,0.17,8.07473688200116,5.9294322412461,0.690264374465908,0.369916959571865,0.11391852317489298
Sadio Mané,sn SEN,FW,Liverpool,27,1992,30.5,933,1162,80.3,15607,3859,25,69,36.2,755,888,85.0,153,205,74.6,7,7.0,0.0,56,65,66,11,132,1162,1141,21,8,10,244,26,49,0,0,0,0,766,243,153,235,839,39,10,15,933,3,17,29,50,1590,13,125,627,1002,221,1572,76,116,65.5,84,6,1248,9671,5435,1843,1275,69.2,85,72,107,3.51,85,0,6,3,13,15,0.49,9,0,0,1,5,0,18,76,36,47.4,2.49,1.18,0.24,0.5,0,0,0,13.5,13.5,0.18,4.5,4.5,35,31,18,7,0,0,3,0,0.59,0.23,0.82,0.59,0.82,7.0,0.44,0.23,0.67,0.44,0.67,25.0732052028179,6.7670140042901,0.7677956747864739,0.4199539183807992,0.14041562256864237
Aaron Cresswell,eng ENG,DF,West Ham,29,1989,30.3,1241,1681,73.8,21623,10692,18,88,20.5,1005,1151,87.3,218,442,49.3,0,2.0,-2.0,23,115,22,15,217,1681,1292,389,45,3,242,38,127,19,11,5,0,796,359,526,1201,81,41,325,1,1241,6,41,19,77,1971,107,549,943,562,26,1581,16,38,42.1,19,2,1076,4665,2306,1139,1047,91.9,9,13,46,1.52,33,6,2,1,4,2,0.07,1,0,1,0,0,0,3,18,5,27.8,0.59,0.17,0.17,0.6,7,0,0,1.2,1.2,0.07,1.8,1.8,31,31,3,0,0,0,7,0,0.1,0.0,0.1,0.1,0.1,2.0,0.04,0.06,0.1,0.04,0.1,6.8349421042949,4.89146363735199,0.699708722635814,0.3926066109656885,0.10450609484034853
Romain Saïss,ma MAR,DF,Wolves,29,1990,30.1,1252,1541,81.2,27996,10398,8,37,21.6,839,937,89.5,405,567,71.4,1,0.5,0.5,7,119,9,0,118,1541,1494,47,37,1,187,61,9,0,0,0,0,953,225,363,1232,137,97,10,5,1252,4,32,18,31,1932,175,925,1009,89,26,1892,7,9,77.8,8,1,1058,4696,2514,1201,1165,97.0,6,8,25,0.83,19,1,1,3,0,2,0.07,0,0,0,1,0,1,2,23,8,34.8,0.77,0.27,0.09,0.25,1,0,0,2.7,2.7,0.12,-0.7,-0.7,33,31,2,1,0,0,12,1,0.07,0.03,0.1,0.07,0.1,0.5,0.09,0.02,0.11,0.09,0.11,10.5217842385173,9.55737670883536,0.790001716897746,0.30191498443504616,0.06079886746317131
Serge Aurier,ci CIV,DF,Tottenham,26,1992,30.0,1262,1654,76.3,20964,7401,17,79,21.5,1076,1256,85.7,169,319,53.0,5,3.0,2.0,30,64,39,16,162,1654,1380,274,16,1,274,21,134,0,0,0,0,915,418,321,171,1092,94,258,3,1262,3,27,31,70,2057,119,582,894,680,54,1789,46,73,63.0,46,7,1198,5613,3135,1297,1146,88.4,36,31,48,1.6,43,2,2,0,0,6,0.2,4,0,1,0,0,1,1,13,4,30.8,0.43,0.13,0.08,0.25,0,0,0,0.5,0.5,0.04,0.5,0.5,33,31,1,5,0,0,4,1,0.03,0.17,0.2,0.03,0.2,3.0,0.02,0.1,0.12,0.02,0.12,10.1321884226054,6.7963621225208,0.730709222571801,0.34766866373496974,0.10562734483787764
Jefferson Lerma,co COL,MF,Bournemouth,24,1994,30.0,1092,1377,79.3,21965,6525,18,41,43.9,796,932,85.4,278,404,68.8,2,1.8,0.2,12,119,16,0,123,1377,1348,29,24,0,281,39,6,0,0,0,0,816,246,315,143,1080,110,5,2,1092,4,34,21,24,1700,126,505,980,285,18,1677,25,33,75.8,27,1,1012,4740,2005,1026,952,92.8,22,21,34,1.13,28,0,2,0,4,2,0.07,2,0,0,0,0,0,1,30,2,6.7,1.0,0.07,0.03,0.5,0,0,0,1.3,1.3,0.04,-0.3,-0.3,33,31,1,2,0,0,13,1,0.03,0.07,0.1,0.03,0.1,1.8,0.04,0.06,0.1,0.04,0.1,8.75819934532046,8.17416101694107,0.789673038555604,0.3287638755784086,0.07253415557265694
Joelinton,br BRA,FW,Newcastle Utd,22,1996,29.8,640,801,79.9,9487,1705,25,55,45.5,538,643,83.7,77,103,74.8,2,2.4,-0.4,28,43,12,2,54,801,761,40,1,4,316,11,5,0,0,0,0,488,174,139,126,486,62,5,16,640,4,15,11,21,1224,40,129,684,474,109,1185,48,74,64.9,52,2,771,4780,2257,1573,873,55.5,127,82,58,1.95,48,1,2,4,3,3,0.1,3,0,0,0,0,0,2,52,15,28.8,1.74,0.5,0.04,0.13,0,0,0,4.8,4.8,0.09,-2.8,-2.8,38,32,2,2,0,0,7,0,0.07,0.07,0.13,0.07,0.13,2.4,0.16,0.08,0.24,0.16,0.24,12.0420838780701,4.82217684015632,0.830955009387176,0.37223461448722306,0.10023038874567747
Wilfred Ndidi,ng NGA,MF,Leicester City,22,1996,29.7,1416,1649,85.9,26441,5628,34,64,53.1,1078,1209,89.2,304,376,80.9,1,0.4,0.6,9,138,4,0,74,1649,1626,23,23,1,306,50,3,0,0,0,0,1175,262,212,180,1341,75,0,4,1416,2,34,26,29,2049,103,571,1276,302,21,2032,24,30,80.0,25,3,1223,5449,2099,1303,1233,94.6,18,26,36,1.21,33,0,1,1,1,4,0.13,4,0,0,0,0,0,2,27,2,7.4,0.91,0.07,0.07,1.0,0,0,0,1.8,1.8,0.07,0.2,0.2,32,29,2,1,0,0,6,0,0.07,0.03,0.1,0.07,0.1,0.4,0.06,0.01,0.07,0.06,0.07,10.0798441916704,9.0549516454339,0.837942892238368,0.23855361278256004,0.04818317783946907
